Rk,Player,Pos,Tm,Cap Hit,year
144.0,Michael Johnson,DE,CIN,"$6,125,000",2016
,Da'Norris Searcy,DB,TEN,"$6,125,000",2016
146.0,Donald Penn,T,OAK,"$6,100,000",2016
,Aaron Williams,DB,BUF,"$6,100,000",2016
148.0,Jadeveon Clowney,DE,HOU,"$6,074,454",2016
149.0,Cliff Avril,DE,SEA,"$6,000,000",2016
,Davon House,DB,JAX,"$6,000,000",2016
,Gerald McCoy,DT,TAM,"$6,000,000",2016
,C.J. Anderson,RB,DEN,"$6,000,000",2016
,Luke Kuechly,ILB,CAR,"$6,000,000",2016
,Nate Solder,T,NWE,"$6,000,000",2016
,Charles Clay,TE,BUF,"$6,000,000",2016
,Reggie Nelson,DB,OAK,"$6,000,000",2016
,DeMarco Murray,RB,TEN,"$6,000,000",2016
158.0,Dominique Rodgers-Cromartie,DB,NYG,"$5,980,000",2016
159.0,Morgan Burnett,DB,GNB,"$5,956,250",2016
160.0,Carlos Dunlap,DE,CIN,"$5,950,000",2016
161.0,Austin Howard,T,OAK,"$5,900,000",2016
162.0,NaVorro Bowman,LB,SFO,"$5,850,000",2016
163.0,Perrish Cox,DB,TEN,"$5,833,333",2016
164.0,Bobby Massie,T,CHI,"$5,818,750",2016
165.0,Whitney Mercilus,DE,HOU,"$5,800,000",2016
166.0,D'Qwell Jackson,LB,IND,"$5,750,000",2016
,T.J. Ward,DB,DEN,"$5,750,000",2016
168.0,Linval Joseph,DT,MIN,"$5,650,000",2016
,Kyle Rudolph,TE,MIN,"$5,650,000",2016
170.0,Blake Bortles,QB,JAX,"$5,633,130",2016
171.0,Nick Mangold,C,NYJ,"$5,600,000",2016
172.0,Prince Amukamara,CB,JAX,"$5,593,750",2016
173.0,Marcus Mariota,QB,TEN,"$5,503,176",2016
174.0,Antonio Gates,TE,SDG,"$5,500,000",2016
,Lamar Miller,RB,HOU,"$5,500,000",2016
,Derek Newton,OL,HOU,"$5,500,000",2016
,Vince Wilfork,NT-DT,HOU,"$5,500,000",2016
178.0,Bryan Bulaga,T,GNB,"$5,462,500",2016
179.0,Sammy Watkins,WR,BUF,"$5,436,983",2016
180.0,Joe Staley,T,SFO,"$5,400,000",2016
181.0,Andy Levitre,G,ATL,"$5,375,000",2016
,Kelvin Beachum,T,JAX,"$5,375,000",2016
183.0,Dante Fowler,OLB,JAX,"$5,338,694",2016
184.0,Jamaal Charles,RB,KAN,"$5,312,500",2016
185.0,Harrison Smith,FS,MIN,"$5,278,000",2016
186.0,K.J. Wright,LB,SEA,"$5,250,000",2016
,DeAndre Levy,LB,DET,"$5,250,000",2016
188.0,Allen Bailey,DL,KAN,"$5,212,500",2016
189.0,Russell Okung,T,DEN,"$5,200,000",2016
190.0,Amari Cooper,WR,OAK,"$5,150,708",2016
191.0,King Dunlap,T,SDG,"$5,143,750",2016
192.0,Casey Hayward,DB,SDG,"$5,133,333",2016
193.0,Paul Posluszny,LB,JAX,"$5,104,166",2016
194.0,Kam Chancellor,DB,SEA,"$5,100,000",2016
,Greg Olsen,TE,CAR,"$5,100,000",2016
,Jimmy Smith,CB,BAL,"$5,100,000",2016
197.0,Trent Cole,DE-LB,IND,"$5,093,750",2016
198.0,Khalil Mack,OLB,OAK,"$5,093,727",2016
199.0,Martellus Bennett,TE,NWE,"$5,085,000",2016
200.0,George Iloka,FS,CIN,"$5,075,000",2016
201.0,Marquette King,P,OAK,"$5,050,000",2016
202.0,Robert Griffin,QB,CLE,"$5,046,875",2016
203.0,Josh McCown,QB,CLE,"$5,041,666",2016
204.0,Robert Mathis,DE,IND,"$5,000,000",2016
,Mark Barron,SS,LAR,"$5,000,000",2016
,Robert Ayers,DE,TAM,"$5,000,000",2016
,Marcus Gilchrist,DB,NYJ,"$5,000,000",2016
,Breno Giacomini,G,NYJ,"$5,000,000",2016
,Ryan Kerrigan,DE,WAS,"$5,000,000",2016
,Brian Cushing,LB,HOU,"$5,000,000",2016
,Josh Norman,CB,WAS,"$5,000,000",2016
212.0,Ahmad Brooks,LB,SFO,"$4,900,000",2016
213.0,Nick Perry,DE,GNB,"$4,875,000",2016
214.0,Corey Graham,DB,BUF,"$4,775,000",2016
215.0,Josh Sitton,G,CHI,"$4,750,000",2016
,Clint Boling,OL,CIN,"$4,750,000",2016
,Chad Henne,QB,JAX,"$4,750,000",2016
,Golden Tate,WR,DET,"$4,750,000",2016
219.0,Joey Bosa,DE,SDG,"$4,704,306",2016
220.0,Sen'Derrick Marks,DT,JAX,"$4,675,000",2016
221.0,Giovani Bernard,RB,CIN,"$4,621,517",2016
222.0,Jeremy Zuttah,G,BAL,"$4,607,206",2016
223.0,Joe Barksdale,OL,SDG,"$4,550,000",2016
224.0,Mike Iupati,G,ARI,"$4,500,000",2016
,Vincent Rey,LB,CIN,"$4,500,000",2016
,Michael Oher,T,CAR,"$4,500,000",2016
,Rodger Saffold,T,LAR,"$4,500,000",2016
,Akiem Hicks,DE,CHI,"$4,500,000",2016
,Devin McCourty,DB,NWE,"$4,500,000",2016
,Antoine Bethea,DB,SFO,"$4,500,000",2016
,Eddie Royal,WR,CHI,"$4,500,000",2016
,Torrey Smith,WR,SFO,"$4,500,000",2016
233.0,Jake Matthews,OT,ATL,"$4,480,773",2016
234.0,Dustin Colquitt,P,KAN,"$4,450,000",2016
235.0,Jason Pierre-Paul,DE,NYG,"$4,250,000",2016
,Kendall Langford,DE,IND,"$4,250,000",2016
,Erik Walden,DE,IND,"$4,250,000",2016
,DeAngelo Hall,DB,WAS,"$4,250,000",2016
,Wesley Woodyard,LB,TEN,"$4,250,000",2016
,Brandon Carr,DB,DAL,"$4,250,000",2016
,Barry Church,DB,DAL,"$4,250,000",2016
,Kyle Long,OT,CHI,"$4,250,000",2016
243.0,Jalen Ramsey,FS,JAX,"$4,245,636",2016
244.0,Tashaun Gipson,DB,JAX,"$4,206,250",2016
245.0,Captain Munnerlyn,DB,MIN,"$4,200,000",2016
246.0,Shawn Williams,SS,CIN,"$4,188,986",2016
247.0,Steve Smith,WR,BAL,"$4,166,668",2016
248.0,Rey Maualuga,LB,CIN,"$4,084,375",2016
249.0,Marcus Gilbert,OL,PIT,"$4,068,500",2016
250.0,Alex Mack,C,ATL,"$4,050,000",2016
,David Amerson,CB,OAK,"$4,050,000",2016
252.0,Marshal Yanda,T,BAL,"$4,010,220",2016
253.0,Michael Bennett,DE,SEA,"$4,000,000",2016
,Frank Gore,RB,IND,"$4,000,000",2016
,Marcedes Lewis,TE,JAX,"$4,000,000",2016
,Doug Martin,RB,TAM,"$4,000,000",2016
,Glover Quin,DB,DET,"$4,000,000",2016
,Brandon Graham,DE,PHI,"$4,000,000",2016
,Jason Kelce,OL,PHI,"$4,000,000",2016
,Jerrell Freeman,LB,CHI,"$4,000,000",2016
,Jabaal Sheard,DL,NWE,"$4,000,000",2016
,Patrick Robinson,DB,IND,"$4,000,000",2016
,Shawn Lauvao,G,WAS,"$4,000,000",2016
,Doug Free,T,DAL,"$4,000,000",2016
,Donald Stephenson,T,DEN,"$4,000,000",2016
,Travis Benjamin,WR,SDG,"$4,000,000",2016
267.0,Roy Miller,DT,JAX,"$3,975,000",2016
268.0,Sebastian Janikowski,K,OAK,"$3,960,000",2016
269.0,Chance Warmack,OG,TEN,"$3,871,206",2016
270.0,Tracy Porter,DB,CHI,"$3,868,750",2016
271.0,Graham Gano,P,CAR,"$3,850,000",2016
272.0,Tamba Hali,DE,KAN,"$3,802,083",2016
273.0,Kevin White,WR,CHI,"$3,764,329",2016
274.0,Brian Robison,DE,MIN,"$3,750,000",2016
,Eric Weddle,DB,BAL,"$3,750,000",2016
,DeSean Jackson,WR,WAS,"$3,750,000",2016
277.0,Domata Peko,DT,CIN,"$3,725,000",2016
278.0,Ronnie Stanley,OT,BAL,"$3,724,423",2016
279.0,Case Keenum,QB,LAR,"$3,635,000",2016
280.0,D.J. Fluker,OT,SDG,"$3,628,067",2016
281.0,Ron Parker,CB,KAN,"$3,600,000",2016
,Dan Skuta,LB,JAX,"$3,600,000",2016
,Kenny Britt,WR,LAR,"$3,600,000",2016
284.0,Letroy Guion,DT,GNB,"$3,516,666",2016
285.0,Jaye Howard,DT,KAN,"$3,500,000",2016
,Derrick Johnson,LB,KAN,"$3,500,000",2016
,Brandon Mebane,DT,SDG,"$3,500,000",2016
,Darren Sproles,RB,PHI,"$3,500,000",2016
,Brent Grimes,DB,TAM,"$3,500,000",2016
,Mike Wallace,WR,BAL,"$3,500,000",2016
,Justin Tucker,K,BAL,"$3,500,000",2016
,Ryan Clady,T,NYJ,"$3,500,000",2016
,Earl Mitchell,DT,MIA,"$3,500,000",2016
294.0,Chris Ivory,RB,JAX,"$3,468,750",2016
295.0,Brooks Reed,DL,ATL,"$3,440,000",2016
296.0,Marcus Cannon,OL,NWE,"$3,400,000",2016
297.0,Rishard Matthews,WR,TEN,"$3,333,333",2016
298.0,Vontaze Burfict,LB,CIN,"$3,322,059",2016
299.0,Vic Beasley,OLB,ATL,"$3,294,370",2016
300.0,D.J. Hayden,CB,OAK,"$3,284,813",2016
301.0,Joe Reitz,T,IND,"$3,250,000",2016
,Adam Vinatieri,K,IND,"$3,250,000",2016
,Darian Stewart,DB,DEN,"$3,250,000",2016
,Lance Kendricks,TE,LAR,"$3,250,000",2016
,Richie Incognito,G,BUF,"$3,250,000",2016
306.0,Shaun Hill,QB,MIN,"$3,200,000",2016
,Demario Davis,OLB,CLE,"$3,200,000",2016
,Dennis Pitta,TE,BAL,"$3,200,000",2016
309.0,Anthony Fasano,TE,TEN,"$3,187,500",2016
310.0,Matt Bryant,K,ATL,"$3,183,333",2016
311.0,Shane Vereen,RB,NYG,"$3,150,000",2016
312.0,Phil Dawson,K,SFO,"$3,134,000",2016
313.0,Arthur Moats,LB,PIT,"$3,133,333",2016
314.0,Taylor Lewan,OT,TEN,"$3,132,274",2016
315.0,Koa Misi,LB,MIA,"$3,120,500",2016
316.0,Brandon Fusco,OL,MIN,"$3,120,000",2016
317.0,Sam Koch,P,BAL,"$3,100,000",2016
318.0,Marcel Reece,TE,SEA,"$3,072,014",2016
319.0,Star Lotulelei,DT,CAR,"$3,055,977",2016
320.0,Kevin Huber,P,CIN,"$3,020,000",2016
321.0,Arthur Jones,DT,IND,"$3,011,764",2016
322.0,Jermaine Gresham,TE,ARI,"$3,000,000",2016
