Rk,Unnamed: 1,Tm,Cap Hit
,Kenny Britt,STL,"$4,300,000"
252.0,James Laurinaitis,STL,"$4,275,000"
253.0,Brandon Flowers,SDG,"$4,250,000"
,Mike Neal,GNB,"$4,250,000"
,Bruce Carter,TAM,"$4,250,000"
,Erik Walden,IND,"$4,250,000"
,Stephen Paea,WAS,"$4,250,000"
,Kendall Langford,IND,"$4,250,000"
,Alterraun Verner,TAM,"$4,250,000"
260.0,Khalil Mack,OAK,"$4,244,773"
261.0,Charles Woodson,OAK,"$4,200,000"
262.0,Cameron Jordan,NOR,"$4,169,000"
263.0,Steve Smith,BAL,"$4,166,666"
264.0,Jon Beason,NYG,"$4,154,166"
265.0,Heath Miller,PIT,"$4,151,666"
266.0,Phil Dawson,SFO,"$4,134,000"
267.0,King Dunlap,SDG,"$4,125,000"
268.0,Amari Cooper,OAK,"$4,120,566"
269.0,Darren Sproles,PHI,"$4,100,000"
270.0,Donald Brown,SDG,"$4,083,333"
271.0,Chris Culliver,WAS,"$4,073,529"
272.0,Perry Riley,WAS,"$4,049,804"
273.0,Nick Foles,STL,"$4,042,000"
274.0,David Hawthorne,NOR,"$4,010,000"
275.0,Luke Kuechly,CAR,"$4,002,283"
276.0,Terrance Knighton,WAS,"$4,000,000"
,Derrick Morgan,TEN,"$4,000,000"
,Shawn Lauvao,WAS,"$4,000,000"
,Percy Harvin,BUF,"$4,000,000"
,Jabaal Sheard,NWE,"$4,000,000"
,Malcolm Smith,OAK,"$4,000,000"
,Dashon Goldson,WAS,"$4,000,000"
283.0,Jason Jones,DET,"$3,983,333"
284.0,Evander Hood,CHI,"$3,975,000"
285.0,Jonathan Cooper,ARI,"$3,967,910"
286.0,Terrell Suggs,BAL,"$3,950,000"
287.0,Garrett Graham,HOU,"$3,921,875"
288.0,Josh McCown,CLE,"$3,916,666"
289.0,Aaron Williams,BUF,"$3,900,000"
290.0,Daryl Smith,BAL,"$3,875,000"
291.0,Drew Stanton,ARI,"$3,866,668"
292.0,Brandon Scherff,WAS,"$3,857,388"
293.0,Roy Miller,JAX,"$3,850,000"
,Sean Weatherspoon,ARI,"$3,850,000"
,Marcedes Lewis,JAX,"$3,850,000"
296.0,Stephon Gilmore,BUF,"$3,844,959"
297.0,Dustin Colquitt,KAN,"$3,800,000"
,Brandon Pettigrew,DET,"$3,800,000"
299.0,Andre Roberts,WAS,"$3,750,000"
,Evan Dietrich-Smith,TAM,"$3,750,000"
,Mark Sanchez,PHI,"$3,750,000"
,Henry Melton,TAM,"$3,750,000"
303.0,Alex Boone,SFO,"$3,723,000"
304.0,Jeremy Zuttah,BAL,"$3,700,000"
,Domata Peko,CIN,"$3,700,000"
306.0,Da'Norris Searcy,TEN,"$3,625,000"
307.0,Ropati Pitoitua,TEN,"$3,612,500"
308.0,Sebastian Janikowski,OAK,"$3,610,000"
309.0,Dontari Poe,KAN,"$3,601,822"
310.0,Jimmy Smith,BAL,"$3,600,000"
,Robbie Gould,CHI,"$3,600,000"
,Stephen Gostkowski,NWE,"$3,600,000"
,Torrey Smith,SFO,"$3,600,000"
314.0,Marcel Reece,OAK,"$3,580,838"
315.0,Glover Quin,DET,"$3,572,500"
316.0,Bryan Bulaga,GNB,"$3,568,750"
317.0,Mason Crosby,GNB,"$3,550,000"
318.0,Wesley Woodyard,TEN,"$3,500,000"
,Brandon LaFell,NWE,"$3,500,000"
,Joique Bell,DET,"$3,500,000"
,William Moore,ATL,"$3,500,000"
,Vince Wilfork,HOU,"$3,500,000"
323.0,Brandon Fusco,MIN,"$3,485,000"
324.0,Tavon Austin,STL,"$3,477,546"
325.0,Dee Milliner,NYJ,"$3,453,010"
326.0,Mike Tolbert,CAR,"$3,425,000"
327.0,Jeremy Maclin,KAN,"$3,400,000"
,Thomas Morstead,NOR,"$3,400,000"
329.0,Leonard Williams,NYJ,"$3,387,430"
330.0,Dexter McCluster,TEN,"$3,350,000"
,Lee Smith,OAK,"$3,350,000"
,Erik Pears,SFO,"$3,350,000"
333.0,Perrish Cox,TEN,"$3,333,333"
334.0,Mike Evans,TAM,"$3,325,341"
335.0,Steven Hauschka,SEA,"$3,325,000"
336.0,Chance Warmack,TEN,"$3,318,177"
337.0,Matt Slauson,CHI,"$3,267,500"
338.0,Fletcher Cox,PHI,"$3,258,036"
339.0,Marcus Gilbert,PIT,"$3,256,000"
340.0,Shaun Hill,MIN,"$3,250,000"
,Ryan Fitzpatrick,NYJ,"$3,250,000"
,Barry Church,DAL,"$3,250,000"
,Clinton McDonald,TAM,"$3,250,000"
,Walter Thurmond,PHI,"$3,250,000"
345.0,Allen Bailey,KAN,"$3,231,250"
346.0,Zach Strief,NOR,"$3,200,000"
,Michael Crabtree,OAK,"$3,200,000"
,Shareece Wright,BAL,"$3,200,000"
,Pat McAfee,IND,"$3,200,000"
350.0,Ryan Mallett,2TM,"$3,187,500"
351.0,Michael Floyd,ARI,"$3,172,750"
352.0,Willie Young,CHI,"$3,166,666"
353.0,T.Y. Hilton,IND,"$3,131,850"
354.0,Marcus Gilchrist,NYJ,"$3,125,000"
355.0,Danny Amendola,NWE,"$3,116,666"
356.0,D.J. Fluker,SDG,"$3,109,771"
357.0,Jermaine Gresham,ARI,"$3,109,375"
358.0,Manny Lawson,BUF,"$3,100,000"
,Graham Gano,CAR,"$3,100,000"
,Mike Adams,IND,"$3,100,000"
,Vincent Rey,CIN,"$3,100,000"
362.0,Golden Tate,DET,"$3,096,250"
363.0,Joe Reitz,IND,"$3,062,500"
364.0,Greg Hardy,DAL,"$3,041,379"
365.0,Michael Brockers,STL,"$3,029,727"
366.0,Mychal Kendricks,PHI,"$3,014,141"
367.0,Rahim Moore,HOU,"$3,000,000"
,Matt Hasselbeck,IND,"$3,000,000"
,Chris Harris,DEN,"$3,000,000"
,Max Unger,NOR,"$3,000,000"
,Paul Soliai,ATL,"$3,000,000"
,Aldon Smith,OAK,"$3,000,000"
,Toby Gerhart,JAX,"$3,000,000"
,Doug Free,DAL,"$3,000,000"
,Alan Ball,CHI,"$3,000,000"
,Tyson Alualu,JAX,"$3,000,000"
,Manuel Ramirez,DET,"$3,000,000"
,DeMeco Ryans,PHI,"$3,000,000"
379.0,Chris Baker,WAS,"$2,984,375"
380.0,Whitney Mercilus,HOU,"$2,979,030"
381.0,Bobby Wagner,SEA,"$2,970,663"
382.0,Randy Starks,CLE,"$2,968,750"
383.0,Evan Mathis,DEN,"$2,921,875"
,Akeem Ayers,STL,"$2,921,875"
385.0,Justin Gilbert,CLE,"$2,916,705"
386.0,Nolan Carroll,PHI,"$2,900,000"
387.0,Anthony Barr,MIN,"$2,896,250"
388.0,Bruce Irvin,SEA,"$2,895,542"
389.0,Devin Hester,ATL,"$2,875,000"
390.0,Geoff Schwartz,NYG,"$2,845,833"
391.0,John Greco,CLE,"$2,825,000"
392.0,Mackenzy Bernadeau,DAL,"$2,824,166"
393.0,D.J. Hayden,OAK,"$2,815,554"
394.0,Rashad Jennings,NYG,"$2,812,500"
395.0,Steve McLendon,PIT,"$2,808,334"
396.0,Quinton Coples,2TM,"$2,800,889"
397.0,Tramaine Brock,SFO,"$2,790,000"
398.0,Eric Ebron,DET,"$2,783,898"
399.0,Kevin Huber,CIN,"$2,770,000"
400.0,Buster Skrine,NYJ,"$2,750,000"
,Chris Ivory,NYJ,"$2,750,000"
,Adam Vinatieri,IND,"$2,750,000"
,George Johnson,TAM,"$2,750,000"
,Owen Daniels,DEN,"$2,750,000"
405.0,Dre Kirkpatrick,CIN,"$2,743,680"
406.0,Melvin Ingram,SDG,"$2,672,166"
407.0,Rolando McClain,DAL,"$2,636,029"
408.0,Shea McClellin,CHI,"$2,629,263"
409.0,Mike DeVito,KAN,"$2,620,000"
410.0,Star Lotulelei,CAR,"$2,619,409"
411.0,Ereck Flowers,NYG,"$2,616,676"
412.0,Marcus Cannon,NWE,"$2,616,666"
413.0,Kendall Wright,TEN,"$2,614,962"
414.0,Taylor Lewan,TEN,"$2,610,228"
415.0,Chandler Jones,NWE,"$2,600,659"
416.0,Michael Johnson,CIN,"$2,600,000"
,Al Woods,TEN,"$2,600,000"
,Ahtyba Rubin,SEA,"$2,600,000"
,Jeremy Kerley,NYJ,"$2,600,000"
,Matt Moore,MIA,"$2,600,000"
421.0,Kenny Vaccaro,NOR,"$2,570,376"
422.0,Adam Jones,CIN,"$2,550,000"
,Sean Richardson,GNB,"$2,550,000"
424.0,Riley Reiff,DET,"$2,543,450"
425.0,Shane Vereen,NYG,"$2,516,666"
426.0,Todd Gurley,STL,"$2,513,306"
427.0,Michael Mitchell,PIT,"$2,508,750"
428.0,Gosder Cherilus,TAM,"$2,500,000"
,Greg Jennings,MIA,"$2,500,000"
,Stefen Wisniewski,JAX,"$2,500,000"
,Charlie Whitehurst,2TM,"$2,500,000"
,Cam Thomas,PIT,"$2,500,000"
,Sergio Brown,JAX,"$2,500,000"
,Darius Butler,IND,"$2,500,000"
,Danny Woodhead,SDG,"$2,500,000"
,Dan Bailey,DAL,"$2,500,000"
,Josh Scobee,PIT,"$2,500,000"
,Demar Dotson,TAM,"$2,500,000"
439.0,David DeCastro,PIT,"$2,486,240"
440.0,Letroy Guion,GNB,"$2,485,294"
441.0,Dont'a Hightower,NWE,"$2,457,637"
442.0,Terence Newman,MIN,"$2,453,125"
,Cecil Shorts,HOU,"$2,453,125"
444.0,Robert Ayers,NYG,"$2,437,500"
445.0,Ted Larsen,ARI,"$2,435,000"
446.0,Sheldon Richardson,NYJ,"$2,431,647"
447.0,EJ Manuel,BUF,"$2,423,264"
448.0,Michael Oher,CAR,"$2,421,875"
449.0,Will Hill,BAL,"$2,416,045"
450.0,Reggie Bush,SFO,"$2,406,250"
451.0,Kevin Zeitler,CIN,"$2,400,427"
452.0,Sam Koch,BAL,"$2,400,000"
,Ryan Wendell,NWE,"$2,400,000"
,Ben Grubbs,KAN,"$2,400,000"
,Brandon Browner,NOR,"$2,400,000"
456.0,Eugene Sims,STL,"$2,391,686"
457.0,Nick Perry,GNB,"$2,386,125"
458.0,James Carpenter,NYJ,"$2,375,000"
459.0,Jarvis Jones,PIT,"$2,374,228"
460.0,Johnny Hekker,STL,"$2,373,773"
461.0,Odell Beckham,NYG,"$2,365,045"
462.0,Mark Barron,STL,"$2,362,704"
463.0,Dan Carpenter,BUF,"$2,362,500"
464.0,Derrick Shelby,MIA,"$2,356,000"
,Rodney McLeod,STL,"$2,356,000"
,Cedric Thornton,PHI,"$2,356,000"
,Rod Streater,OAK,"$2,356,000"
,Damon Harrison,NYJ,"$2,356,000"
,T.J. McDonald,STL,"$2,356,000"
,Jerrell Freeman,IND,"$2,356,000"
,Emmanuel Lamur,CIN,"$2,356,000"
,Justin Tucker,BAL,"$2,356,000"
,Tashaun Gipson,CLE,"$2,356,000"
,Craig Robertson,CLE,"$2,356,000"
,Jermaine Kearse,SEA,"$2,356,000"
476.0,Trae Waynes,MIN,"$2,353,520"
477.0,Britton Colquitt,DEN,"$2,350,000"
478.0,Glenn Dorsey,SFO,"$2,341,666"
479.0,Eric Reid,SFO,"$2,312,931"
480.0,Aaron Donald,STL,"$2,303,750"
481.0,Tom Johnson,MIN,"$2,300,000"
482.0,Harry Douglas,TEN,"$2,283,333"
483.0,Justin Pugh,NYG,"$2,276,154"
484.0,Harrison Smith,MIN,"$2,271,355"
485.0,Craig Stevens,TEN,"$2,270,000"
486.0,Kyle Long,CHI,"$2,263,896"
487.0,Tyler Eifert,CIN,"$2,251,637"
488.0,Jonathan Babineaux,ATL,"$2,250,000"
,Scott Chandler,NWE,"$2,250,000"
,Jimmy Wilson,SDG,"$2,250,000"
,Brian Hartline,CLE,"$2,250,000"
