Rk,Player,Pos,Tm,Salary,year
,Jonathan Jones,DB,NWE,"$3,095,000",2019
,Robby Anderson,WR,NYJ,"$3,095,000",2019
,Ka'imi Fairbairn,K,HOU,"$3,095,000",2019
,Jalen Richard,RB,OAK,"$3,095,000",2019
,Matthias Farley,DB,NYJ,"$3,095,000",2019
,Michael Pierce,DT,BAL,"$3,095,000",2019
,Shelby Harris,DE,DEN,"$3,095,000",2019
,Trey Hopkins,G,CIN,"$3,095,000",2019
,Chester Rogers,WR,IND,"$3,095,000",2019
,George Fant,T,SEA,"$3,095,000",2019
,Cory Littleton,LB,LAR,"$3,095,000",2019
,Anthony Harris,DB,MIN,"$3,095,000",2019
,Evan Boehm,C,MIA,"$3,095,000",2019
,Daryl Worley,CB,OAK,"$3,095,000",2019
273.0,Devin Funchess,WR,IND,"$3,000,000",2019
,Gerald McCoy,DT,CAR,"$3,000,000",2019
,Kareem Jackson,DB,DEN,"$3,000,000",2019
,Terrell Suggs,LB-DE,2TM,"$3,000,000",2019
,Ben Watson,TE,NWE,"$3,000,000",2019
,Jaquiski Tartt,SS,SFO,"$3,000,000",2019
,Clay Matthews,LB,LAR,"$3,000,000",2019
,Colt McCoy,QB,WAS,"$3,000,000",2019
,Quinton Dunbar,CB,WAS,"$3,000,000",2019
,Willie Snead,WR,BAL,"$3,000,000",2019
,Cordarrelle Patterson,WR,CHI,"$3,000,000",2019
,Michael Bennett,DE,2TM,"$3,000,000",2019
285.0,Marquise Goodwin,WR,SFO,"$2,950,000",2019
,Jordan Poyer,CB,BUF,"$2,950,000",2019
,Thomas Morstead,P,NOR,"$2,950,000",2019
,Wesley Woodyard,LB,TEN,"$2,950,000",2019
,Tahir Whitehead,OLB,OAK,"$2,950,000",2019
290.0,Leonard Fournette,RB,JAX,"$2,933,258",2019
291.0,Johnathan Joseph,DB,HOU,"$2,900,000",2019
,Bradley McDougald,FS,SEA,"$2,900,000",2019
,Akeem Spence,DT,2TM,"$2,900,000",2019
,Anthony Barr,OLB,MIN,"$2,900,000",2019
295.0,Marcell Dareus,DT,JAX,"$2,835,000",2019
296.0,Brian Hoyer,QB,IND,"$2,800,000",2019
297.0,Davante Adams,WR,GNB,"$2,750,000",2019
,Matt Ryan,QB,ATL,"$2,750,000",2019
,Chris Thompson,RB,WAS,"$2,750,000",2019
,Brandon McManus,K,DEN,"$2,750,000",2019
,Senio Kelemete,T,HOU,"$2,750,000",2019
,Chris Smith,DE,CLE,"$2,750,000",2019
,Allen Bailey,DL,ATL,"$2,750,000",2019
,Jaron Brown,WR,SEA,"$2,750,000",2019
305.0,Britton Colquitt,P,MIN,"$2,700,000",2019
306.0,Quandre Diggs,CB,2TM,"$2,657,000",2019
307.0,Jack Conklin,OT,TEN,"$2,617,862",2019
308.0,Leonard Floyd,OLB,CHI,"$2,602,208",2019
309.0,Lane Taylor,G,GNB,"$2,600,000",2019
310.0,Jack Crawford,DE,ATL,"$2,550,000",2019
311.0,Matthew Bosher,P,ATL,"$2,545,000",2019
312.0,Eli Apple,CB,NOR,"$2,516,225",2019
313.0,Kyle Long,OT,CHI,"$2,500,000",2019
,Rob Havenstein,OT,LAR,"$2,500,000",2019
,Duron Harmon,FS,NWE,"$2,500,000",2019
,Johnson Bademosi,DB,2TM,"$2,500,000",2019
,Terrance Mitchell,CB,CLE,"$2,500,000",2019
,Ryan Succop,K,TEN,"$2,500,000",2019
,Kenny Wiggins,T,DET,"$2,500,000",2019
,Tashaun Gipson,DB,HOU,"$2,500,000",2019
,James White,RB,NWE,"$2,500,000",2019
,Jamon Brown,OT,ATL,"$2,500,000",2019
,Ben Roethlisberger,QB,PIT,"$2,500,000",2019
,Ted Ginn,WR,NOR,"$2,500,000",2019
,Ezekiel Ansah,DE,SEA,"$2,500,000",2019
,Virgil Green,TE,LAC,"$2,500,000",2019
327.0,Dustin Colquitt,P,KAN,"$2,450,000",2019
,Christian Jones,ILB,DET,"$2,450,000",2019
329.0,Sam Martin,P,DET,"$2,400,000",2019
,Lawrence Guy,DT,NWE,"$2,400,000",2019
,Jon Feliciano,OG,BUF,"$2,400,000",2019
,Bobby Massie,T,CHI,"$2,400,000",2019
,Ryan Kalil,C,NYJ,"$2,400,000",2019
334.0,Vernon Hargreaves,CB,2TM,"$2,383,317",2019
335.0,Kevin Huber,P,CIN,"$2,350,000",2019
336.0,Greg Zuerlein,K,LAR,"$2,325,000",2019
337.0,Khalil Mack,OLB,CHI,"$2,300,000",2019
,Ross Cockrell,CB,CAR,"$2,300,000",2019
339.0,Dustin Hopkins,K,WAS,"$2,275,000",2019
340.0,Mike Williams,WR,LAC,"$2,260,448",2019
341.0,Xavier Williams,DT,KAN,"$2,257,000",2019
342.0,Jordan Phillips,DT,BUF,"$2,250,000",2019
,Buster Skrine,DB,CHI,"$2,250,000",2019
,Ryan Griffin,TE,NYJ,"$2,250,000",2019
,Daryl Williams,OT,CAR,"$2,250,000",2019
,Eddie Goldman,DT,CHI,"$2,250,000",2019
,Justin Ellis,DT,BAL,"$2,250,000",2019
348.0,Daniel Kilgore,G,MIA,"$2,225,000",2019
349.0,Cole Beasley,WR,BUF,"$2,200,000",2019
,Matt Prater,K,DET,"$2,200,000",2019
351.0,Sheldon Rankins,DT,NOR,"$2,195,680",2019
352.0,Laremy Tunsil,OT,HOU,"$2,148,770",2019
353.0,Karl Joseph,SS,OAK,"$2,070,589",2019
354.0,Daren Bates,LB,TEN,"$2,050,000",2019
355.0,Christian McCaffrey,RB,CAR,"$2,032,390",2019
356.0,Rashod Hill,T,MIN,"$2,025,000",2019
,Will Parks,S,DEN,"$2,025,000",2019
,Quinton Jefferson,DT,SEA,"$2,025,000",2019
,Jordan Howard,RB,PHI,"$2,025,000",2019
