Rk,Player,Pos,Tm,Cap Hit
,Delanie Walker,TE,TEN,"$4,200,000"
175.0,Darius Slay,CB,DET,"$4,100,000"
,Brooks Reed,DL,ATL,"$4,100,000"
177.0,Clint Boling,OL,CIN,"$4,050,000"
,Dustin Colquitt,P,KAN,"$4,050,000"
179.0,Bobby Wagner,ILB,SEA,"$4,000,000"
,Shawn Lauvao,G,WAS,"$4,000,000"
,Matt Forte,RB,NYJ,"$4,000,000"
,Eric Weddle,DB,BAL,"$4,000,000"
,Torrey Smith,WR,PHI,"$4,000,000"
,Kenny Britt,WR,2TM,"$4,000,000"
,Jeremy Lane,CB,SEA,"$4,000,000"
,George Iloka,FS,CIN,"$4,000,000"
,Marcedes Lewis,TE,JAX,"$4,000,000"
,Marcus Gilbert,OL,PIT,"$4,000,000"
,Nigel Bradham,OLB,PHI,"$4,000,000"
,Terrell Suggs,LB-DE,BAL,"$4,000,000"
,Darren Sproles,RB,PHI,"$4,000,000"
,Robert Ayers,DE,TAM,"$4,000,000"
193.0,Paul Posluszny,LB,JAX,"$3,950,000"
194.0,Malcolm Butler,CB,NWE,"$3,910,000"
195.0,Brian Robison,DE,MIN,"$3,900,000"
,Ron Parker,CB,KAN,"$3,900,000"
,Allen Bailey,DL,KAN,"$3,900,000"
198.0,Christian Kirksey,OLB,CLE,"$3,797,000"
199.0,J.R. Sweezy,G,TAM,"$3,750,000"
,Jerrell Freeman,LB,CHI,"$3,750,000"
,Adrian Clayborn,DL,ATL,"$3,750,000"
,Jordan Reed,TE,WAS,"$3,750,000"
,Bilal Powell,RB,NYJ,"$3,750,000"
204.0,Pierre Garcon,WR,SFO,"$3,675,000"
205.0,Michael Johnson,DE,CIN,"$3,550,000"
206.0,Frank Gore,RB,IND,"$3,500,000"
,Ben Jones,C,TEN,"$3,500,000"
,Cole Beasley,WR,DAL,"$3,500,000"
,Tavon Austin,WR,LAR,"$3,500,000"
,Prince Amukamara,CB,CHI,"$3,500,000"
211.0,Brandon Mebane,DT,LAC,"$3,350,000"
212.0,Greg Robinson,OT,DET,"$3,322,377"
213.0,Thomas Davis,LB,CAR,"$3,250,000"
,Casey Hayward,DB,LAC,"$3,250,000"
215.0,Blake Bortles,QB,JAX,"$3,236,565"
216.0,Graham Gano,K,CAR,"$3,200,000"
,Dan Bailey,K,DAL,"$3,200,000"
218.0,Richie Incognito,G,BUF,"$3,175,000"
219.0,Joel Bitonio,OT,CLE,"$3,164,777"
220.0,Thomas Morstead,P,NOR,"$3,150,000"
,Matt Prater,K,DET,"$3,150,000"
222.0,Mark Ingram,RB,NOR,"$3,100,000"
,Shawn Williams,SS,CIN,"$3,100,000"
224.0,C.J. Fiedorowicz,TE,HOU,"$3,097,000"
225.0,Tahir Whitehead,OLB,DET,"$3,050,000"
226.0,Terrelle Pryor,QB,WAS,"$3,000,000"
,Ricky Wagner,OT,DET,"$3,000,000"
,Russell Okung,T,LAC,"$3,000,000"
,NaVorro Bowman,LB,2TM,"$3,000,000"
,Fletcher Cox,DT,PHI,"$3,000,000"
,Brandon Marshall,WR,NYG,"$3,000,000"
,Derrick Shelby,DE,ATL,"$3,000,000"
,William Gholston,DE,TAM,"$3,000,000"
,Marcus Cooper,CB,CHI,"$3,000,000"
,Kam Chancellor,DB,SEA,"$3,000,000"
,Ryan Kalil,C,CAR,"$3,000,000"
,Johnathan Hankins,DT,IND,"$3,000,000"
,A.J. Bouye,CB,JAX,"$3,000,000"
,Orlando Scandrick,DB,DAL,"$3,000,000"
,T.J. Lang,T,DET,"$3,000,000"
,T.J. Ward,DB,TAM,"$3,000,000"
,Tony Jefferson,FS,BAL,"$3,000,000"
,Jason Peters,T,PHI,"$3,000,000"
,Chris Baker,DT,TAM,"$3,000,000"
,Josh McCown,QB,NYJ,"$3,000,000"
,Brent Celek,TE,PHI,"$3,000,000"
,Robert Woods,WR,LAR,"$3,000,000"
,Markus Wheaton,WR,CHI,"$3,000,000"
249.0,Andrew Sendejo,DB,MIN,"$2,950,000"
250.0,C.J. Anderson,RB,DEN,"$2,900,000"
,Andre Branch,DE,MIA,"$2,900,000"
252.0,Steve McLendon,DT,NYJ,"$2,875,000"
253.0,Kevin Huber,P,CIN,"$2,800,000"
,Brett Kern,P,TEN,"$2,800,000"
,Virgil Green,TE,DEN,"$2,800,000"
,Domata Peko,DT,DEN,"$2,800,000"
,Justin Tucker,K,BAL,"$2,800,000"
,Colt McCoy,QB,WAS,"$2,800,000"
259.0,Corey Peters,DT,ARI,"$2,750,000"
,Adam Vinatieri,K,IND,"$2,750,000"
,Reggie Nelson,DB,OAK,"$2,750,000"
,Chris Clark,T,HOU,"$2,750,000"
,Luke Joeckel,OT,SEA,"$2,750,000"
,Kayvon Webster,CB,LAR,"$2,750,000"
,Jonathan Casillas,LB,NYG,"$2,750,000"
,William Hayes,DE,MIA,"$2,750,000"
267.0,Dontrelle Inman,WR,2TM,"$2,746,000"
,Wesley Johnson,OT,NYJ,"$2,746,000"
,Trey Burton,TE,PHI,"$2,746,000"
,Brandon McManus,K,DEN,"$2,746,000"
,Isaiah Crowell,RB,CLE,"$2,746,000"
,Andrew Norwell,G,CAR,"$2,746,000"
,Taylor Gabriel,WR,ATL,"$2,746,000"
,Adam Thielen,WR,MIN,"$2,746,000"
,Marcus Williams,CB,2TM,"$2,746,000"
,Todd Davis,LB,DEN,"$2,746,000"
277.0,Travis Kelce,TE,KAN,"$2,700,000"
,Stephen Gostkowski,K,NWE,"$2,700,000"
279.0,Ramon Foster,T,PIT,"$2,675,000"
280.0,Dante Fowler,OLB,JAX,"$2,570,478"
281.0,Drew Stanton,QB,ARI,"$2,550,000"
,Dre Kirkpatrick,CB,CIN,"$2,550,000"
283.0,Quintin Demps,DB,CHI,"$2,500,000"
,Jabaal Sheard,DL,IND,"$2,500,000"
,Jarius Wright,WR,MIN,"$2,500,000"
,Brandon Marshall,OLB,DEN,"$2,500,000"
,Jared Cook,TE,OAK,"$2,500,000"
,Patrick Chung,DB,NWE,"$2,500,000"
,Ronald Leary,G,DEN,"$2,500,000"
,Donald Stephenson,T,DEN,"$2,500,000"
,Jamar Taylor,CB,CLE,"$2,500,000"
,Dwayne Allen,TE,NWE,"$2,500,000"
,Abry Jones,DT,JAX,"$2,500,000"
,Morris Claiborne,CB,NYJ,"$2,500,000"
,Chris Hogan,WR,NWE,"$2,500,000"
,Cordarrelle Patterson,WR,OAK,"$2,500,000"
297.0,Dwayne Harris,WR,NYG,"$2,475,000"
298.0,Zane Beadles,T,SFO,"$2,450,000"
,Emmanuel Lamur,LB,MIN,"$2,450,000"
300.0,Johnny Hekker,P,LAR,"$2,444,444"
301.0,Ryan Succop,K,TEN,"$2,400,000"
,Marquette King,P,OAK,"$2,400,000"
,Da'Norris Searcy,DB,TEN,"$2,400,000"
,Terence Newman,DB,MIN,"$2,400,000"
305.0,Micah Hyde,CB,BUF,"$2,300,000"
,Tom Johnson,DT,MIN,"$2,300,000"
,Sam Koch,P,BAL,"$2,300,000"
308.0,Brian Cushing,LB,HOU,"$2,264,706"
309.0,Terrell McClain,DL,WAS,"$2,250,000"
,Lane Taylor,G,GNB,"$2,250,000"
,Vincent Rey,LB,CIN,"$2,250,000"
,Elvis Dumervil,DE,SFO,"$2,250,000"
,Arthur Moats,LB,PIT,"$2,250,000"
,James Hanna,TE,DAL,"$2,250,000"
,Stacy McGee,DT,WAS,"$2,250,000"
,Chad Henne,QB,JAX,"$2,250,000"
317.0,Sam Martin,P,DET,"$2,225,000"
318.0,Jermaine Kearse,WR,NYJ,"$2,200,000"
,Matthew Bosher,P,ATL,"$2,200,000"
,Wesley Woodyard,LB,TEN,"$2,200,000"
321.0,Anthony Barr,OLB,MIN,"$2,157,750"
322.0,Shane Vereen,RB,NYG,"$2,150,000"
